title,company,location,category,seniority,description,date_posted,url
Android Developer Intern (Unpaid),Budgetwise,United States,software engineering,Intern,"About Budgetwise:Budgetwise is an innovative AI-powered budgeting and personal finance management application designed to empower individuals who are not currently utilizing budgeting apps but could benefit greatly from financial organization and planning. We are a forward-thinking tech startup committed to providing a hands-on learning experience for all our aspiring team-members, especially our software engineers. Role Overview:We are seeking a motivated Android Software Engineering (KOTLIN) Intern to join our remote team and contribute to the further development of Budgetwise's mobile frontend. This internship offers an excellent opportunity to gain real-world experience in software engineering while working with cutting-edge technologies within a supportive and collaborative environment. Responsibilities:Collaborate closely with the development team via Slack and Zoom to enhance Budgetwise's backend functionality.Work with Kotlin, Firebase, Postman, and with Github, for frontend development.Develop and maintain backend features and functionalities, ensuring seamless integration with the frontend components. Requirements:Proficiency in Kotlin.Willingness to learn and adapt to new tools and technologies, including Firebase and Plaid.Strong communication skills and ability to collaborate effectively within a remote team environment.Availability to commit to the internship schedule and participate in regular meetings.Enthusiasm for gaining hands-on experience in backend software engineering within a startup environment.Participate in technical challenge to assess your technical skills.Dedicate 15-20 hours per week to the internship over a period of 3-4 months to maximize learning and contribution.Attend semi-weekly development sync meetings on Tuesdays and Thursdays between 9:30 am and 11:30 am PST. Benefits:Gain valuable real-world experience in software engineering with a focus on backend development.Work remotely with a flexible schedule that accommodates your academic and personal commitments.Collaborate with a dynamic and supportive team passionate about driving innovation in personal finance management.Opportunity to strengthen foundational skills and enhance career prospects in software development. Application Process:To apply for this internship, please submit your resume and apply via the LinkedIn platform. Shortlisted candidates will be invited to participate in a technical challenge to assess their suitability for the role. Join us at Budgetwise and embark on a rewarding journey to accelerate your career as a world-class engineering expert. Apply now to seize this exciting opportunity! Budgetwise is an equal opportunity employer and welcomes applicants from diverse backgrounds. ENG, IT",2024-04-19,https://www.linkedin.com/jobs/view/3870389946/?trk=jobs_biz_prem_srch
Licensed Healthcare Insurance Agent - Work from Home,Everise,United States,machine learning,,"Company OverviewJoin us on our mission to elevate customer experiences for people around the world. As a member of the Everise family, you will be part of a global experience company that believes in being people-first, celebrating diversity and incubating innovation. Our dedication to our purpose and people is being recognized by our employees and the industry. Our 4.5/5 rating on Glassdoor and our shiny, growing wall of Best Place to Work awards is a testament to our investment in our culture. Through the power of diversity, we celebrate all cultures for their uniqueness and strengths. With 13 centers around the world and a robust work at home program, we believe great things happen when we work with people who think differently from us. Find a job you’ll love today!Do you enjoy helping people? Have you always wanted a career in healthcare but weren’t sure where to start? Everise has an amazing opportunity for you to achieve both of those goals. Our licensed healthcare positions offer a rewarding experience assisting customers with their healthcare options during open enrollment season. As a licensed healthcare agent, you will educate and assist customers in selecting the right insurance policy to fit their needs.Everise offers unique opportunities to our candidates:Full time regular status positions where you will work continuously throughout the year with one of our many clients and transition back to support healthcare during the annual enrollment period.Competitive pay and bonuses Seasonal positions available as well to fit candidate needsFull time positions include a robust benefit program including medical, dental, vision, 401k plans and PTO.Excellent career pathing- We promote from within!Does this sound good to you? If so, we ask that you bring the following:License to sell healthcare insurance in your current state of residenceStrong detail orientation and excellent communication/listening skillsStrong computer skills that help you to efficiently maneuver through multiple applications simultaneouslyHigh school diploma or GEDAuthorization to work in the United StatesWe would love if you had:Minimum of 6 months experience in a customer facing work environment where you are developing and/or closing salesEverise is committed to keeping our employees and our workplaces safe during these uncertain times. For now, most of our positions are remote as part of our work-at-home program.Work at Home Set-Up RequirementsStandard Connect and Speed Wired Ethernet connection 20 Mb/s download, 10 Mb/s upload (wireless is not permitted)*Some programs may require higher speeds. Monitor (2) 21” monitor(s). You will supply 1 and Everise will supply 1.Hard-wired Broadband Internet Service via DSL, Cable, or Fiber Optic The use of wireless connections to access Everise Work at Home systems at any time is prohibited, even if the connection is encrypted. Additionally, Satellite, Microwave and Cellular Hotspot Internet Services are not permitted. Headset You must supply your own headset. Specific models will be shared during the interview process.To be supplied by Everise (some programs offer bring your own devices):KeyboardMouse This job description does not constitute an offer of employment, or a promise of continued employment once hired and is not meant as a solicitation. It is provided for informational purposes only. All or any part hereof or any terms and conditions contained herein may be rescinded or modified in whole or in part at any time or from time at the sole discretion of Everise and its management.If you’ve got the skills to succeed and the motivation to make it happen, we look forward to hearing from you.",2024-04-19,https://www.linkedin.com/jobs/view/3864501161/?trk=jobs_biz_prem_srch
Product Marketing Manager,Halda.AI,"Provo, UT",machine learning,,"What You'll Do: Market Insights: Collaborate with the product team to conduct market research and customer interviews to become the expert on Enrollment Marketers in Higher Ed, the competitive landscape, and industry trends. Product Positioning and Messaging: Identify value props and messaging for the product as a whole to guide campaign efforts, sales pitches, and content. GTM Enablement: Work alongside our product, sales, and marketing teams to develop marketing collateral, including product guides, sales enablement content to support product launches. Product Training & Launch Management: Conduct training sessions to keep the GTM team and partner ecosystem updated on the latest product features and competitive positioning. Product Adoption Analytics: Help define and track key performance indicators (KPIs) across all products and features to drive deeper product adoption and utilization. Content Creation and Collaboration: Work with content team to develop product specific webinars, blogs, eBooks, and gated content to be used to boost performance for SEO. What You'll Bring: Experience: At least 3 years of B2B SaaS product marketing experience, an understanding of the AI and/or EdTech space is a plus. Communication Skills: Exceptional written and verbal communication skills, with a knack for articulating complex technical concepts in an accessible manner. Analytical Abilities: Robust analytical skills to evaluate product performance. Charisma and Confidence: The ability to stand in front of a crowd and succinctly and emotionally communicate the impact of the relevant product release, with humility and flexibility when you are inevitably asked tough questions. Founder’s Mentality: A founder's mindset with the drive to take proactive steps in shaping our product strategy and customer engagement. You're a team player who's willing to jump in and support where needed. MRKT, SALE",2024-04-19,https://www.linkedin.com/jobs/view/3885936117/?trk=jobs_biz_prem_srch
Full Stack Engineer,Ideando Inc,United States,software engineering,,"Location: Remote Company Overview:SkillFit, a subsidiary of Ideando Inc. is a cutting-edge AI-powered platform that revolutionizes the talent acquisition process by connecting job seekers with recruiters in a seamless and efficient manner. Our mission is to leverage technology to enhance the job search experience for both candidates and employers, ultimately driving better outcomes and reducing frustration in the hiring process. Position Overview:We are seeking a talented and experienced Freelance Full-Stack Software Engineer to collaborate with our dynamic team on a project basis. The ideal candidate will have a passion for building innovative software solutions, a strong foundation in both front-end and back-end technologies, and a desire to contribute to a fast-paced startup environment. Key Responsibilities:1. Collaborate with the product team to understand requirements, design solutions, and implement new features and functionalities for SkillFit's platform.2. Develop robust, scalable, and maintainable code across the full stack, including front-end UI components, back-end services, database integrations and API connectivity.3. Participate in code reviews, architectural discussions, and technical planning sessions to ensure code quality, performance, and adherence to best practices.4. Work closely with cross-functional teams, including product management, design, and QA, to deliver high-quality software solutions that meet user needs and business objectives.5. Identify and address technical challenges and opportunities for improvement, proposing innovative solutions and technologies to enhance the platform's capabilities and performance.6. Contribute to a collaborative and inclusive team culture, sharing knowledge, mentoring junior engineers, and actively participating in team meetings and discussions. Qualifications:- 3+ years of professional experience in software development, with a focus on full-stack web development.- Proficiency in modern programming languages and frameworks, including JavaScript/TypeScript, React, Node.js, Python, and Express.js.- Experience with relational and NoSQL databases, such as PostgreSQL, MongoDB, or similar.- Strong understanding of web development fundamentals, including HTML5, CSS3, and responsive design principles.- Familiarity with cloud platforms and services, such as AWS, Azure, or Google Cloud Platform.- Knowledge of software engineering best practices, including version control, testing, and continuous integration/continuous deployment (CI/CD) pipelines.- Excellent problem-solving skills, attention to detail, and ability to work independently or as part of a team in a fast-paced, agile environment.- Strong communication and collaboration skills, with the ability to effectively communicate technical concepts to non-technical stakeholders. Benefits:- Competitive compensation based on project scope and duration.- Flexible remote work environment with opportunities for collaboration and networking.- Opportunities to work on exciting projects and contribute to innovative solutions in the talent acquisition industry.- Potential for long-term engagement and ongoing project work based on performance and fit.- Professional development opportunities and support for continued learning and skill development. Join us in our mission to transform the talent acquisition industry with innovative technology solutions. We highly encourage you to explore our beta product at https://skillfitai.com/ before submitting your application, allowing you to gain a deeper understanding of our mission and objectives. Become a Freelance Full-Stack Software Engineer at SkillFit and make a meaningful impact on the future of hiring! ENG, IT",2024-04-19,https://www.linkedin.com/jobs/view/2234533717/?trk=jobs_biz_prem_srch
Assistant Director,Kiddie Academies of Greater Seattle Careers,"Kirkland, WA",machine learning,,"Assistant Director - Child Care CenterMake a difference in a child's life - and your own. Excellent opportunity for an early childhood Leader to grow.Kiddie Academy of Bellevue has an exciting leadership opportunity for an energetic, organized, experienced and inspiring professional to join us as Assistant Director. Apply now to join our leadership team at Kiddie Academy as the Assistant Director!We are a group (KAGS) of locally owned early childhood education academies in the Greater Seattle area. Our group owns and operates the Kiddie Academy locations in Bellevue, Bothell, Kirkland, Mill Creek, Kenmore and Seattle. We have an awesome work culture, and if you’re the right candidate, you’ll fit right in. We offer growth-oriented, challenging and rewarding career opportunities in a collaborative and supportive environment. We are committed, flexible and creative in our talent growth strategy. Position Overview:As an Assistant Director you will assist and support Center Director in all aspects of management of the Academy, to include enrollment, human resources, marketing, customer relations, financial systems, quality control and physical facility. If you’re motivated by smiles and laughs from children and praise from parents, this could be the job for you. We’re looking for:An enthusiastic leader with exceptional communication skills.Experience managing, growing enrollment and maintaining retention in a center-based program.Excellent administrative, organizational, verbal, listening, and communication skills.Action oriented, organized, strategic thinker, focused on getting the right things doneA thorough knowledge of WA Licensing regulations (WACs) for child care centers and a great understanding of developmentally-appropriate practicesAt least 2 years of early childhood education experience required as a center director. We offer:Pay depending on position, experience and qualificationsExcellent Benefits which include, medical, dental and vision insurance with no lengthy wait periodPaid HolidaysPaid Time offGenerous child care discounts for employees (limited availability and conditions apply).Company paid professional development programFantastic growth opportunities available through job rotation, lateral move, and special project assignmentsBenefits vary based on full-time/part-time status... and much more. Visit our academy and learn more.About Kiddie Academy:Kiddie Academy® is a leader in educationally focused child cares for more than 30 years. Kiddie Academy redefined childcare by creating a place where fun and learning go hand in hand. KAGS Group is a franchisee of Kiddie Academy® and an equal opportunity employer. BD, SALE",2024-04-19,https://www.linkedin.com/jobs/view/3511440340/?trk=jobs_biz_prem_srch
Project Estimator,"Knapp Engineering, Inc.","Prospect, CT",machine learning,,"Position Overview:The Project Estimator is responsible for the cost estimation of instrumentation and controls materials, possessing a strong knowledge of technical specifications, datasheets, and drawings of an I&C System. The ideal candidate will have a thorough understanding of estimating principles with exceptional planning and organizational skills, critical/analytical thinking, and be result-driven. This individual must be a team player, eager to learn, and ready for unique challenges. About Knapp Engineering:Join the second-generation team of Knapp Engineering, Inc., and experience personal and business success. Our company is a full service “Process Automation” and “Control System Integration” firm serving the municipal and industrial markets throughout the northeast for over 30 years. Knapp Engineering Inc. has been growing as a leader in Connecticut and surrounding states by providing control panels and automation solutions. With our recent acquisition of Introl, we also provide service support, PLC & HMI Modifications, troubleshooting and calibrations in the municipal and industrial markets. Minimum Qualifications:Associates or Bachelor’s Degree in related field(3) years of related experienceAdditional related experience and/or certifications, education, or training may be substituted for formal education Position Requirements:Material, equipment, and labor preparation and cost reviewsExperience estimating instrumentation and electrical controls; construction projectsCompletion of Change Orders and RFI’sProcurement and fulfillment of project bidsNegotiation and selection of vendors, subcontractors, and materialsParticipation in proposal meetings; planning and scheduling inputs and activities to meet bid submission and project deadlinesPreparation of in-house estimates for all high voltage, medium voltage, low voltage equipment, instruments, control panels, and other I&C bulk materials based on contract drawings and specificationsEvaluation of vendor offers/quotes/proposals and compilation of technical documentation to confirm specification requirementsEvaluation of the efforts involved in executing the proposals in terms of labor hours based on input received from contract drawings, specifications, and other disciplinesEvaluation of risk and uncertainties involved during proposal execution and ensuring an optimum provision for uncertainties in the costStrong knowledge of technical specifications, data sheets, and drawings for electrical, instrumentation, control, and telecommunication systemsPreparation of cost estimates for Industrial, Municipal and Commercial projectsEvaluation of construction plans, blueprints and information gathered during on-site visits to analyze work plans and determine project scheduling and project scopeMaintain strong customer relationships providing highest quality service and technical supportPossess the technical skills to read, understand, and analyze contract drawings, engineering specifications, and operation manualsCollaboration with Project Manager to review estimate scope for project take-off after becoming an orderMust be organized and flexible to adapt to changing customer demands and meet changing deadlinesDetermine needed resources while adhering to budget, timeline, and quality control plan for each estimate scopeReview Contract Modification and Change Order requests and implement cost proposal for change requestContinuously evaluate progress of current and past projects and update estimating standards Required Skills:Results-driven and team playerExcellent client and vendor interaction skills and ability to effectively negotiate pricing with vendors.Eager and willingness to learn new subjectsProficient knowledge of electrical equipment, materials and specifications,Proficient knowledge of reading and interpreting blueprints (Electrical, Instrumentation & Mechanical)CAD drafting software knowledge a plusAbility to work in a fast-paced environment with tight deadlinesExperience performing complex design/build and conceptual estimatingInterpret and understand specifications and contractsStrong oral and written communication and analytical skillsMust be proficient in Microsoft Office suite (Word, Excel, Outlook, Access) MGMT, MNFC",2024-04-19,https://www.linkedin.com/jobs/view/3875731325/?trk=jobs_biz_prem_srch
VP of Engineering,RELISH,United States,machine learning,,"Job Purpose North AmericaRelish is a growth-stage SaaS company focused on creating strategic extensions to enterprise applications. Based on decades of experience with platforms like SAP, SAP Ariba, Coupa, Ivalua, Workday, and others, we are delivering solutions for requirements commonly left unaddressed in the customer’s business-critical processes. Relish solutions infuse these important systems with capabilities, data and technology that result in increased adoption and value realization from implemented solutions. Fortune 500 companies, global brands, and leaders in industries like Financial Services, Consumer Goods, Industrial Manufacturing, Professional Services and SLED already use Relish solutions to become more efficient, compliant, and adaptable in their supplier management, strategic procurement, accounts payable and risk management processes. Excitingly, we get to do our work with cutting edge tools and technology, leading the way for our customers to incorporate them into their paths to success. . Opportunity StatementWe now are seeking a VP of Engineering who is a dynamic, elevated performer who will drive the technical vision, strategy, and execution of our product development efforts and will play a crucial role in shaping our technology roadmap, fostering a culture of innovation, and ensuring the scalability, reliability, and performance of our software solutions all in a fast-paced entrepreneurial style organization, where it’s the people that make the difference. Duties and Responsibilities Essential Responsibilities: · Co-develops the technical vision and strategy with the CTO· Oversees the fulfillment of the product vision through excellence in team planning and execution· Makes sure that engineers are working at manageable efficiency (not overworked or understaffed)· Manages the engineering department’s budget (equipment costs, training and development, recruitment, etc.)· Handles the interview, recruitment, and onboarding of new engineers· Facilitates regular education and training of team members· Supervises the Research and Development programs· Procures the raw materials, equipment, tools, and systems needed by the team· Monitors product testing and reviews· Serves as part of the senior executive staff and works with peers (VP of Business Development, VP of Marketing, etc.) Qualifications, Education and Experience Necessary and desirable qualifications include, but are not limited to, the following: · Proven experience (10+years) in a senior engineering leadership role within a SaaS company or similar environment.· Strong technical background with expertise in software development, architecture, and system design.· Experience managing large-scale, distributed software systems and high-performing engineering teams.· Deep understanding of agile methodologies, DevOps practices, and modern software engineering tools.· Excellent communication skills with the ability to influence and inspire cross-functional teams.· Bachelor's or Master's degree in Computer Science, Engineering, or a related field; MBA or advanced degree preferred.· Working Conditions At Relish, we believe results and accomplishments matter more than where work is completed. We thrive in a remote-office environment with teammates located in several different countries. We shape our work lives as needed to be accountable to the stakeholders and to meet company goals. The role will require occasional weekend and evening work. Physical Requirements At Relish, we are dreamers and go-getters. We set ambitious goals and work hard to achieve them. Our mission requires intense focus, hard work, and at the ability to deal with stressful situations. You will primarily be working on a computer and sitting in this role. Reasonable accommodations can be made to employees with qualified disabilities who can perform the essential functions of the job, so long as there is no undue hardship created upon the organization or other employees within the organization. Conclusion This job description is intended to convey information essential to understanding the scope of the job and the general nature and level of work performed within this job. However, this job description is not intended to be an exhaustive list of responsibilities, duties, qualifications, or physical demands associated with the position. Relish is an equal opportunity employer who encourages applications from all qualified applicants. We thank all applicants for their interest; however, only short-listed candidates will be contacted. ENG, IT",2024-04-19,https://www.linkedin.com/jobs/view/3829280858/?trk=jobs_biz_prem_srch
Data Architect,Saxon AI,"San Francisco, CA",data engineering,,"Request: Data ArchitectLocation: San Francisco, CA HybridDuration: Contract Job description:AWS services like EC2, S3, Lambda, Glue, athena, Kinesis datastreams, Kinesis Firehose, etcETL & Data Warehousing concepts with hands-on experience SQL, Redshift, Python , SPARK and JSONAPI-based integration and security Cloud computing and Big data concepts Thanks,sunil.k@saxonglobal.com ENG, IT",2024-04-19,https://www.linkedin.com/jobs/view/3245063922/?trk=jobs_biz_prem_srch
Data Engineer/ETL,SilverSpace Technologies Inc,"Hartford, CT",data engineering,,"Responsibilities:Develop new features, fix bugs, Writing and maintaining code in React, JavaScript, Typescript, and Node.js Using data and analytics to improve the product and customer experienceAccountable for code quality, including writing unit and integration testsWorking collaboratively with a team and refactor PHP and Javascript code for both the frontend and backend of a B2B SaaS product. You will work with another developer via Ping-Pong Programming to help you get up to speed on the code and be part of our initiative for Test Driven Development.Collaborate with the IT team to implement, test, and continuously deliver new features.Create and maintain endpoints.Contribute to all phases of the software development lifecycle.Design and develop applications in React, ensuring scalability, repeatability, support, etc.Develop complex, intelligent, and secure software applications with modern technologies for implementation on both client and servicer side.Build frontend UIs that are simple and powerful.Create code in full stack capacity – involving several languages.Adhere to best practices, technical standards, etc. through testing and team-wide support.Identify inefficiencies and analyze root cause and solutions.Stay up to date on the newest technologies and act as SME for upper management to propose and prioritize upgrades. Requirements:0 - 3 + years of full stack software development experience BS in Computer Science or relevant field preferredExperience with React, Html, Css, Typescript, api, Javascript, Git, MySQL, Node, Apache, Docker, AWS, and other technologies and languages.Experience creating/maintaining endpoints.Strong background building authenticated APIs.Experience/knowledge of AWS Lambda Functionality.Ability to accurately estimate project scope and tasks, Self-starter capable of taking on tasks without explicit direction IT",2024-04-19,https://www.linkedin.com/jobs/view/3800989742/?trk=jobs_biz_prem_srch
Director of Finance,Society of St. Vincent de Paul Detroit,"Detroit, MI",machine learning,,"Apply Here https://www.indeed.com/job/director-finance-9c0196508a30cb63 Job DescriptionJob Title: Director of FinanceReports To: CEO, SVDP-DetroitFLSA Status: Exempt SUMMARYThe Society of St. Vincent de Paul Detroit exists to build a more equitable and compassionate world through meaningful personal relationships, providing whatever is needed to help our neighbors get back on their feet and on a path towards self-sustainability. Our programs provide support ranging from utility, housing, and food assistance, to education and mentorship. We also operate a network of thrift stores, two camps and a nutritional center. We are passionate about driving systemic change and helping our neighbors in Metro-Detroit break out of poverty. The Director of Finance is the primary interface with the outsourced finance function as well as the primary administrative contact with the employee-outsourcing vendor as well as providing ongoing leadership and support in the areas of risk management, employee benefits and compliance. The Director of Finance reports to the Chief Executive Officer, provides leadership and support to the Board of Directors and its committees.In addition to ensuring the fiscal health of the organization, the Director of Finance provides leadership and direction in the areas of finance & accounting, payroll, accounts receivable, accounts payable, centralized purchasing, investment management, human resources, and risk management. To be successful in this role, the individual must have experience in financial management of multiple business units with revenues in excess of $15 million in a nonprofit environment. ESSENTIAL DUTIES AND RESPONSIBILITIES: Finance:Act as primary SVDP-Detroit interface with the organization’s outsourced finance and accounting vendor.Ensure the relationship with the outsourced finance and accounting vendor is administered in accordance with its contract and within the performance guarantees of its key deliverables.Preview the outsourced finance and accounting vendor's reports and activity for consistency with the contract Statement of Work and quality standards.Review cash flow reports and estimates and advise on necessary adjustments.Monitor system of internal controls, including separation of duties and review processes, to prevent, detect and correct incidents of fraud and material misstatements.Partner with SVDP-Detroit auditors and the outsourced finance and accounting vendor in completion of annual financial audit and 990 filing.Coordinate with department heads and the outsourced finance and accounting vendor in developing budgets and in budget analysis.Assist senior management in developing short-medium-long range financial goals and projections.Assist the Treasurer in cash flow analysis, financing strategies, and all treasury management activities. Provide leadership to audit and finance committees.Lead quarterly meetings with Investment Committee to review investment performance and fund managers. Assess and update investment policy statements. Advise on asset allocation and risk tolerance.Develop and utilize forward-looking, predictive models and activity based financial analysis to provide insight into the organization’s operations and business plans.Develop financial business plans and forecasts for all special projects or capital acquisitions.Participate in developing new business, specifically: assist senior management in identifying new funding opportunities, the drafting of prospective programmatic budgets, and determining cost effectiveness of prospective service delivery.Responsible for coordination and management of all capital projects for SVdPD relative to financial analysis of projects, timing, and funding requirements with the Directors of various areas.Responsible, in conjunction with senior management, with ensuring adherence to the capital budget and associated processes (bidding, contract management, payment) for all capital projects.Ensure the compliance of contract management procedures for the entire organization, including adherence to existing company policies regarding multiple bid requirements for goods and services.Assess the costs and benefits of all prospective contracts and programmatic activities.Participate in the development of the SVDP-Detroit next phase strategic plan. Human Resources/Payroll/Benefits:Responsible for coordination, along with the CEO, of the outside Professional Employer Organization (PEO) with overall employee matters including; determining selection of benefits package, change to and updating the employee handbook, and any regulatory and legal considerations that may arise.Ensure the relationship with the PEO is administered in accordance with its contract and within the performance guarantees of its key deliverables.Responsible for coordinating with Directors that the bi-weekly payroll hours are correct and ensuring the submission and running of the payroll occurs accurately and timely, and that the payroll is funded prior to submission.Coordinate with the PEO on employee welfare plans offerings, cost analysis and competitiveness.Coordinate with the PEO on the welfare plans open enrollment process and vendor selection.Oversee and coordinate with the SVDP-Detroit pension plan actuary and advisors on annual compliance, participant communications, benefit delivery, and government filings.Oversee and coordinate with the SVDP-Detroit 401(k) Plan administrator, record keeper, advisors, and Trust on employee eligibility communication, suitability of investment options, ongoing compliance, and government filings. Risk:In conjunction with the SVDP-Detroit CEO identify, evaluate and monitor potential negative events to the organization in areas of risk such as reputational, safety, financial, weather events, potential fires, cyber risks, and other risks.Develop programs and plans to minimize risk and prioritize processes to address potential adverse events.Oversee corporate insurance coverage and work with SVdP staff and Vincentians to mitigate risk. Information Technology:Responsible for IT support services related to overall SVdPD needs, and coordination with outsourced service provider to manage daily and monthly support needs of the Central Office staff.Responsible for coordinating with the Directors of Stores/Warehouse and Camps for support and integration of these areas into the overall SVdPD systems environment.Establishing appropriate controls on acquisition of hardware and software for all the SVdPD organization to ensure compliance with operating and capital budget processes and guidelines. EDUCATION and/or EXPERIENCEBachelor’s Degree in accounting, business administration or finance; MBA or CPA desired5 years minimum nonprofit experience as a finance manager, controller, Director of Finance, or CFOStrong understanding of, and extensive professional experience, with:- Accounting/GAAP principles, particularly for nonprofitorganizations- Tax requirements for nonprofit organizations- Budgeting and forecasting- Financial statement preparation and reporting- Cash flow management- Account reconciliations and accounts payable- Banking services- Internal Controls- Investment oversight- Risk ManagementExperience in pension and benefit plans administrationManagement-level responsibility for human resources, IT, facilities management, and general administrative functionsSignificant experience working with various financial packages and Microsoft ExcelComputer experience with Microsoft Office Suite a must. Raiser’s Edge software and retail POS systems experience a plus KNOWLEDGE and ABILITIESMust be self-motivated, results oriented, and able to set priorities and work on numerous projects simultaneously with strong attention to detail.Excellent interpersonal, organizational, communication (both verbal and written), analytical and negotiating skills.Strong ability to lead SVdPD to the best outcomes for the entire organization by building consensus among all levels, including internal staff, board of directors and board-level committees, Districts and Conferences.Communicate clearly and concisely with senior SVdPD management, vendors and employees.Maintains a high level of confidentiality regarding sensitive informationHighest level of ethics and integrityExperience in the nonprofit sector. Familiarity with the Archdiocese of Detroit Catholic faith community desirable. Benefits Offered401(k)401(k) matchingDental insuranceHealth insuranceLife insurancePaid time offVision insuranceSTD Job Type: Full-time Schedule:Monday to Friday Work Location: In person FIN, SALE",2024-04-19,https://www.linkedin.com/jobs/view/3651735073/?trk=jobs_biz_prem_srch
